,province,nowConfirm,confirm,dead,heal
0,台湾,300334,314983,907,13742
1,香港,261564,331231,9344,60323
2,上海,7296,60366,535,52535
3,浙江,553,3126,1,2572
4,北京,532,2433,9,1892
5,吉林,433,40254,5,39816
6,广东,176,7144,8,6960
7,江西,111,1383,1,1271
8,河南,103,2989,22,2864
9,黑龙江,97,2982,13,2872
10,四川,68,2067,3,1996
11,山东,64,2732,7,2661
12,福建,56,3053,1,2996
13,内蒙古,49,1753,1,1703
14,辽宁,38,1656,2,1616
15,湖南,26,1391,4,1361
16,江苏,19,2213,0,2194
17,海南,16,288,6,266
18,广西,15,1592,2,1575
19,山西,15,420,0,405
20,云南,13,2120,2,2105
21,河北,13,2002,7,1982
22,青海,12,95,0,83
23,重庆,7,701,6,688
24,安徽,6,1065,6,1053
25,湖北,2,68398,4512,63884
26,新疆,1,1008,3,1004
27,贵州,1,180,2,177
28,甘肃,0,681,2,679
29,西藏,0,1,0,1
30,宁夏,0,122,0,122
31,澳门,0,82,0,82
32,天津,0,1804,3,1801
33,陕西,0,3277,3,3274
